(0, 1)
(0, 2)
(1, 2)
(0, 3)
(1, 3)
(2, 3)
(2, 4)
(0, 4)
(1, 4)
(3, 5)
(5, 9)
(2, 5)
(0, 5)
(1, 6)
(0, 6)
(3, 6)
(6, 8)
(6, 9)
(0, 7)
(2, 7)
(3, 7)
(4, 9)
(1, 7)
(5, 8)
(1, 8)
(7, 8)
(0, 9)
(1, 9)
(3, 9)
(6, 10)
(2, 10)
(3, 10)
(0, 10)
(1, 11)
(7, 11)
(3, 11)
(4, 12)
(0, 12)
(5, 12)
(2, 13)
(1, 13)
(4, 13)
(0, 14)
(5, 14)
(3, 14)
(0, 15)
(5, 15)
(1, 15)
(4, 16)
(3, 16)
(1, 16)
(5, 17)
(3, 17)
(0, 17)
(3, 18)
(1, 18)
(4, 18)
(5, 19)
(0, 19)
(1, 19)
(1, 20)
(4, 20)
(7, 20)
(1, 21)
(3, 21)
(0, 21)
(4, 22)
(0, 22)
(6, 22)
(5, 23)
(22, 23)
(3, 23)
(0, 24)
(14, 24)
